acl 2.2.52-4
minizip 1:1.2.11-2
mkinitcpio 24-2
mkinitcpio-busybox 1.28.3-1
mobile-broadband-provider-info 20170310-1
mozilla-common 1.4-4
mpfr 4.0.1-1
msgpack-c 2.1.5-2
mtdev 1.1.5-1
nano 2.9.5-1
ncurses 6.1-3
neofetch 3.4.0-2
neovim 0.2.2-5
netctl 1.16-1
nettle 3.4-1
network-manager-applet 1.8.11dev+12+ga37483c1-1
networkmanager 1.10.6-3
ninja 1.8.2-1
nm-connection-editor 1.8.11dev+12+ga37483c1-1
node-gyp 3.6.2-1
nodejs 10.0.0-1
notification-daemon 3.20.0-1
noto-fonts 20180322-1
npm 6.0.0-1
npth 1.5-1
nspr 4.19-1
nss 3.36.1-1
openal 1.18.2-1
opencore-amr 0.1.5-1
openjpeg2 2.3.0-1
openresolv 3.9.0-1
openssh 7.7p1-1
openssl 1.1.0.h-1
openssl-1.0 1.0.2.o-1
opus 1.2.1-1
orc 0.4.28-1
p11-kit 0.23.10-1
pacman 5.0.2-2
pacman-mirrorlist 20180415-1
pam 1.3.0-2
pambase 20171006-1
pango 1.42.1-1
parted 3.2-6
patch 2.7.6-1
pciutils 3.5.6-1
pcmciautils 018-7
pcre 8.42-1
pcre2 10.31-1
perl 5.26.2-1
perl-error 0.17025-2
perl-mailtools 2.20-1
perl-timedate 2.30-4
perl-uri 1.74-1
pinentry 1.1.0-2
pixman 0.34.0-1
pkg-config 0.29.2-1
polkit 0.114-1
polybar 3.1.0-4
popt 1.16-9
procps-ng 3.3.14-1
psmisc 23.1-1
pulseaudio 11.1-1
pulseaudio-alsa 2-3
pygobject-devel 3.28.2-1
pygobject2-devel 2.28.7-1
pygtk 2.24.0-8
python 3.6.5-2
python-appdirs 1.4.3-1
python-beaker 1.9.1-1
python-cairo 1.17.0-1
python-dbus 1.2.6-1
python-dbus-common 1.2.6-1
python-gobject 3.28.2-1
python-jinja 2.10-1
python-mako 1.0.7-1
python-markupsafe 1.0-1
python-packaging 16.8-2
python-pyparsing 2.2.0-1
python-setuptools 1:39.1.0-1
python-six 1.11.0-1
python2 2.7.14-3
python2-cairo 1.17.0-1
python2-gobject2 2.28.7-1
qt4 4.8.7-24
qt5-base 5.10.1-8
qt5-declarative 5.10.1-4
qt5-multimedia 5.10.1-1
qt5-styleplugins 5.0.0.20170311-5
qt5-svg 5.10.1-1
qt5-x11extras 5.10.1-1
qt5-xmlpatterns 5.10.1-1
re2 20180401-1
readline 7.0.003-1
reiserfsprogs 3.6.27-1
rest 0.8.1-1
rhash 1.3.6-1
rofi 1.5.1-1
rtkit 0.11+8+ge0a51fe-1
s-nail 14.9.10-1
# sakura 3.5.0-1 # ターミナルはひとつだけなのでダメです
sddm 0.17.0-5
sdl2 2.0.8-8
sed 4.5-1
semver 5.5.0-1
shadow 4.5-4
shared-mime-info 1.9-1
slack-desktop 3.1.1-1
slang 2.3.2-1
snappy 1.1.7-1
sound-theme-freedesktop 0.8-2
speex 1.2.0-1
speexdsp 1.2rc3-2
sqlite 3.23.1-1
stalonetray 0.8.3-1
startup-notification 0.12-5
sudo 1.8.22-1
sysfsutils 2.1.0-9
systemd 238.76-1
systemd-sysvcompat 238.76-1
tar 1.30-1
tdb 1.3.15-1
texinfo 6.5-1
thin-provisioning-tools 0.7.6-1
thunar 1.6.15-1
trayer 1.1.8-1
tslib 1.16-1
ttf-font-awesome-4 4.7.0-5
ttf-myrica 2.010.20160103-1
tzdata 2018d-1
udisks2 2.7.6-1
unibilium 2.0.0-1
unzip 6.0-12
usbutils 009-1
util-linux 2.32-3
v4l-utils 1.14.2-1
vi 1:070224-2
vid.stab 1.1-1
vim 8.0.1542-2
vim-runtime 8.0.1542-2
volume_key 0.3.9-5
volumeicon 0.5.1-1
vte-common 0.52.1-1
vte3 0.52.1-1
wayland 1.14.0-1
wayland-protocols 1.13-1
webrtc-audio-processing 0.3-2
which 2.21-2
wireless_tools 30.pre9-1
wpa_supplicant 1:2.6-11
x265 2.7-1
xbitmaps 1.1.2-1
xcb-proto 1.13-1
xcb-util 0.4.0-1
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
